date,mean_temp_c,precipitation_mm,streamflow_cms,precip_lag1,precip_3day,precip_7day,temp_3day_mean,temp_7day_mean,streamflow_lag1,streamflow_lag3,streamflow_7day_mean,month,day_of_year,target_next_day_streamflow
2020-03-28,6.9,54.9,46.8,2.9,58.0,66.2,5.6000000000000005,6.042857142857143,39.4,41.5,42.714285714285715,3,88,113.0
2020-03-29,8.7,14.0,113.0,54.9,71.8,80.20000000000002,7.433333333333334,6.485714285714286,46.8,40.0,43.714285714285715,3,89,104.0
2020-03-30,5.6,29.2,104.0,14.0,98.10000000000001,104.7,7.066666666666666,6.228571428571429,113.0,39.4,53.25714285714285,3,90,82.5
2020-03-31,5.4,3.6,82.5,29.2,46.8,104.80000000000001,6.566666666666666,6.085714285714286,104.0,46.8,61.357142857142854,3,91,79.5
2020-04-01,5.4,0.2,79.5,3.6,33.0,105.0,5.466666666666666,5.985714285714286,82.5,113.0,66.74285714285715,4,92,69.6
2020-04-02,4.8,0.0,69.6,0.2,3.8000000000000003,104.8,5.2,6.214285714285714,79.5,104.0,72.17142857142856,4,93,60.4
2020-04-03,5.8,1.3,60.4,0.0,1.5,103.20000000000002,5.333333333333333,6.085714285714286,69.6,82.5,76.39999999999999,4,94,44.5
2020-04-04,5.3,0.0,44.5,1.3,1.3,48.30000000000001,5.3,5.857142857142857,60.4,79.5,79.39999999999999,4,95,40.9
2020-04-05,6.7,0.0,40.9,0.0,1.3,34.30000000000001,5.933333333333333,5.571428571428571,44.5,69.6,79.07142857142857,4,96,39.0
2020-04-06,6.9,0.3,39.0,0.0,0.3,5.400000000000015,6.3,5.757142857142857,40.9,60.4,68.77142857142857,4,97,39.1
2020-04-07,8.5,0.2,39.1,0.3,0.5,2.000000000000014,7.366666666666667,6.2,39.0,44.5,59.48571428571428,4,98,43.9
2020-04-08,8.6,0.1,43.9,0.2,0.6,1.9000000000000143,8.0,6.6571428571428575,39.1,40.9,53.285714285714285,4,99,53.1
